雅颂居   5室3厅   235平米   50000元/月
国际商会大厦   2室1厅   93平米   18000元/月
国际商会大厦   2室1厅   95平米   18000元/月
金中环国际商务大厦   4室0厅   320平米   83200元/月
金中环国际商务大厦   4室0厅   262平米   31964元/月
金中环国际商务大厦   2室1厅   122平米   26840元/月
华融大厦   5室0厅   267平米   220元/月
国际商会大厦   3室1厅   186平米   42550元/月
大中华国际金融中心   7室2厅   398平米   50000元/月
大中华国际金融中心   4室2厅   270平米   43200元/月
彩福大厦   4室1厅   18平米   2730元/月
福莲花园   4室1厅   12平米   2230元/月
中银花园   3室2厅   99平米   7800元/月
国际商会大厦   2室0厅   198平米   39600元/月
金中环国际商务大厦   5室0厅   321平米   91485元/月
国际商会大厦   1室0厅   123平米   28290元/月
金中环国际商务大厦   4室1厅   248平米   62000元/月
国际商会大厦   1室0厅   66平米   10000元/月
国际商会大厦   2室1厅   95平米   18000元/月
国际商会大厦   2室1厅   96平米   18000元/月
金中环国际商务大厦   1室0厅   121平米   26620元/月
金中环国际商务大厦   4室0厅   156平米   40560元/月
荣超国际商会中心   1室0厅   162平米   44000元/月
金中环国际商务大厦   1室0厅   462平米   120120元/月
星河国际花园   5室2厅   239平米   50000元/月
华融大厦   2室0厅   267平米   58740元/月
国际商会大厦   1室0厅   88平米   22000元/月
荣超国际商会中心   3室0厅   320平米   83200元/月
国际商会大厦   2室1厅   139平米   30580元/月
国际商会大厦   1室0厅   89平米   17800元/月
金中环国际商务大厦   3室1厅   29274平米   29274元/月
国际商会大厦   2室1厅   61平米   14000元/月
国际商会大厦   1室0厅   76平米   1元/月
金中环国际商务大厦   2室0厅   115平米   25300元/月
国际商会大厦   6室0厅   650平米   130000元/月
金中环国际商务大厦   5室0厅   272平米   76160元/月
金中环国际商务大厦   3室0厅   122平米   26840元/月
国际商会大厦   2室1厅   95平米   18000元/月
国际商会大厦   4室0厅   277平米   65095元/月
国际商会大厦   2室1厅   93平米   18000元/月
国际商会大厦   2室1厅   61平米   1200元/月
金中环国际商务大厦   2室1厅   122平米   32940元/月
金中环国际商务大厦   2室1厅   128平米   29800元/月
福岗园   2室1厅   76平米   6000元/月
星河世纪   3室1厅   90平米   9000元/月
华融大厦   3室1厅   190平米   3600元/月
彩福大厦   4室1厅   12平米   3360元/月
国际商会大厦   2室1厅   62平米   12500元/月
国际商会大厦   2室1厅   61平米   12000元/月
国际商会大厦   1室0厅   76平米   1元/月
国际商会大厦   1室0厅   68平米   1元/月
国际商会大厦   2室0厅   136平米   27200元/月
国际商会大厦   2室1厅   62平米   12000元/月
国际商会大厦   4室0厅   238平米   54740元/月
国际商会大厦   1室0厅   100平米   23800元/月
东华大厦   4室1厅   8平米   2360元/月
国际商会大厦   1室1厅   54平米   11340元/月
国际商会大厦   1室1厅   243平米   220元/月
国际商会大厦   1室1厅   207平米   220元/月
国际商会大厦   7室0厅   690平米   138000元/月
国际商会大厦   2室1厅   95平米   18000元/月
金中环国际商务大厦   5室0厅   280平米   67200元/月
国际商会大厦   3室0厅   91平米   18500元/月
国际商会大厦   6室0厅   227平米   46000元/月
国际商会大厦   1室0厅   68平米   10000元/月
金中环国际商务大厦   5室1厅   317平米   72910元/月
国际商会大厦   2室1厅   61平米   12000元/月
国际商会大厦   2室1厅   93平米   18000元/月
国际商会大厦   2室1厅   61平米   12000元/月
国际商会大厦   2室1厅   93平米   18000元/月
国际商会大厦   2室1厅   62平米   12000元/月
国际商会大厦   2室1厅   96平米   18000元/月
金中环国际商务大厦   2室0厅   317平米   88760元/月
华融大厦   3室0厅   123平米   29000元/月
国际商会大厦   3室0厅   114平米   24000元/月
荣超国际商会中心   1室0厅   366平米   122610元/月
星河世纪   1室1厅   80平米   16800元/月
东华大厦   4室1厅   7平米   2130元/月
福岗园   3室1厅   6平米   2090元/月
高科利花园   3室1厅   7平米   2390元/月
高科利花园   3室1厅   11平米   2560元/月
福莲花园   4室1厅   8平米   2030元/月
福莲花园   4室1厅   15平米   2560元/月
彩福大厦   4室1厅   10平米   2860元/月
大中华国际金融中心   5室2厅   250平米   50000元/月
港丽豪园   3室2厅   110平米   18000元/月
深业花园   3室2厅   115平米   14000元/月
大中华国际金融中心   3室2厅   130平米   16900元/月
深大新村   3室2厅   89平米   7000元/月
金中环国际商务大厦   1室0厅   123平米   22140元/月
中海华庭   2室2厅   83平米   13000元/月
恒运豪庭   4室1厅   6平米   2360元/月
皇洲花园   4室1厅   7平米   1990元/月
中银花园   2室2厅   85平米   6000元/月
黄埔雅苑四区   3室1厅   110平米   15000元/月
国际商会大厦   3室0厅   90平米   20000元/月
港丽豪园   3室2厅   112平米   14000元/月
国际商会大厦   1室0厅   50平米   10000元/月
发展兴苑   3室2厅   121平米   13000元/月
大中华国际金融中心   3室2厅   130平米   16900元/月
城中雅苑   2室2厅   138平米   18000元/月
彩虹新都   2室1厅   105平米   6500元/月
恒运豪庭   3室2厅   99平米   9500元/月
辛诚花园   3室2厅   85平米   7500元/月
辛诚花园   2室2厅   86平米   8500元/月
长福花园   3室1厅   12平米   2490元/月
中海华庭   3室2厅   119平米   14000元/月
中海华庭   3室2厅   121平米   14000元/月
彩福大厦   2室1厅   78平米   6000元/月
深业花园   3室2厅   111平米   14000元/月
中银花园   2室2厅   88平米   7000元/月
星河世纪   1室1厅   75平米   7500元/月
恒运豪庭   3室2厅   94平米   12000元/月
福鑫苑   4室1厅   13平米   2530元/月
彩福大厦   2室1厅   78平米   6000元/月
深业花园   3室2厅   111平米   14000元/月
中银花园   2室2厅   88平米   7000元/月
星河世纪   1室1厅   75平米   7500元/月
恒运豪庭   3室2厅   94平米   12000元/月
福鑫苑   4室1厅   13平米   2530元/月
星河国际花园   3室2厅   156平米   23000元/月
大中华国际金融中心   3室2厅   90平米   10000元/月
大中华国际金融中心   2室0厅   296平米   49600元/月
彩福大厦   3室2厅   95平米   7500元/月
彩福大厦   1室1厅   49平米   4500元/月
国际商会大厦   1室0厅   50平米   10000元/月
黄埔雅苑一区   3室2厅   125平米   14000元/月
中海华庭   3室2厅   107平米   12000元/月
星河国际花园   3室2厅   123平米   24000元/月
国际商会大厦   1室1厅   73平米   48000元/月
星河世纪   1室0厅   42平米   5500元/月
国际商会大厦   3室1厅   176平米   49280元/月
城中雅苑   3室2厅   115平米   13800元/月
海连大厦   3室2厅   99平米   7000元/月
国际商会大厦   3室2厅   90平米   20000元/月
国际商会大厦   1室0厅   51平米   10000元/月
大中华国际金融中心   1室1厅   63平米   10000元/月
星河世纪   1室1厅   44平米   6000元/月
中银花园   2室1厅   85平米   6500元/月
国际商会大厦   2室0厅   365平米   220元/月
国际商会大厦   2室0厅   106平米   21200元/月
国际商会大厦   2室1厅   93平米   18000元/月
国际商会大厦   1室0厅   76平米   10000元/月
福源大厦   6室1厅   104平米   10000元/月
国际商会大厦   1室0厅   76平米   10000元/月
福源大厦   6室1厅   104平米   10000元/月
高科利花园   4室1厅   8平米   2290元/月
中海华庭   3室2厅   119平米   13000元/月
雅颂居   4室2厅   188平米   35000元/月
中海华庭   4室2厅   168平米   25000元/月
中海华庭   4室2厅   168平米   25000元/月
大中华国际金融中心   2室1厅   71平米   7500元/月
紫玉花园   3室2厅   144平米   15000元/月
华景花园   2室2厅   76平米   5500元/月
高科利花园   4室1厅   10平米   2360元/月
彩虹新都   4室1厅   11平米   2990元/月
大中华国际金融中心   2室2厅   81平米   9500元/月
联合广场福田   1室1厅   288平米   34560元/月
星河世纪   1室0厅   44平米   5300元/月
国际商会大厦   4室1厅   193平米   54040元/月
彩天名苑   2室1厅   60平米   6000元/月
天元大厦   2室2厅   84平米   5200元/月
国际商会大厦   1室0厅   51平米   10000元/月
星河世纪   1室1厅   45平米   5000元/月
彩天名苑   2室1厅   61平米   5600元/月
金中环国际商务大厦   1室1厅   272平米   20000元/月
彩福大厦   2室1厅   51平米   4900元/月
黄埔雅苑二区   3室2厅   151平米   14000元/月
黄埔雅苑一区   4室2厅   215平米   45000元/月
黄埔雅苑一区   4室2厅   200平米   23000元/月
皇洲花园   3室2厅   86平米   6500元/月
中海华庭   5室2厅   229平米   36000元/月
中银花园   2室2厅   85平米   6000元/月
福源大厦   2室2厅   78平米   7000元/月
黄埔雅苑一区   4室2厅   215平米   45000元/月
中银花园   1室2厅   35平米   3000元/月
长福花园   6室2厅   155平米   16000元/月
中海华庭   5室2厅   229平米   36000元/月
皇洲花园   3室2厅   86平米   6500元/月
